Ciudad,Usuarios,Usuarios nuevos,Sesiones con interacción,Porcentaje de interacciones,Sesiones con interacción por usuario,Tiempo de interacción medio,Número de eventos,Conversiones,Total de ingresos
Merida,11,11,8,7272727272727270,7272727272727270,45,126,30,0
Molina de Segura,11,10,10,7692307692307690,9090909090909090,7645454545454540,145,20,0
Navalcarnero,11,11,7,5833333333333330,6363636363636360,10554545454545400,94,15,0
Parla,11,8,15,5357142857142850,13636363636363600,26572727272727200,294,7,0
Salou,11,9,12,0.4,10909090909090900,45554545454545400,380,33,0
San Cristobal de La Laguna,11,11,4,3076923076923070,36363636363636300,21545454545454500,54,6,0
Torre del Mar,11,9,10,7692307692307690,9090909090909090,689090909090909,129,14,0
Ubeda,11,10,5,18518518518518500,45454545454545400,3009090909090900,101,10,0
Aviles,10,10,7,0.7,0.7,71.6,106,17,0
Cuenca,10,9,7,5833333333333330,0.7,104.8,142,10,0
El Prat de Llobregat,10,7,5,0.5,0.5,45064,50,10,0
Gandia,10,7,28,7567567567567560,45140,319.3,306,9,0
Puertollano,10,10,5,45454545454545400,0.5,100.1,111,12,0
Santiago,10,10,6,42857142857142800,0.6,68.6,90,11,0
la Vall d'Uixo,10,9,9,0.9,0.9,148.9,215,45,0
Altoona,9,9,1,1111111111111110,1111111111111110,7777777777777770,33,0,0
Aranda de Duero,9,9,8,6666666666666660,8888888888888880,56,121,29,0
Avila?,9,8,11,6470588235294110,12222222222222200,4026666666666660,305,24,0
Basauri,9,9,7,0.7,7777777777777770,29555555555555500,57,7,0
El Ejido,9,9,7,7777777777777770,7777777777777770,48888888888888800,69,9,0
Humanes de Madrid,9,6,4,0.4,4444444444444440,9566666666666660,59,5,0
Melilla,9,9,3,3333333333333330,3333333333333330,13555555555555500,62,14,0
Pinto,9,8,9,8181818181818180,1,13855555555555500,130,16,0
Prineville,9,8,2,2222222222222220,2222222222222220,1,31,0,0
Quito,9,9,6,5454545454545450,6666666666666660,3088888888888880,47,2,0
Villaviciosa de Odon,9,8,11,7857142857142850,12222222222222200,17355555555555500,167,12,0
Aranjuez,8,6,8,7272727272727270,1,37,102,6,0
Columbus,8,8,2,0.25,0.25,0,26,2,0
Irun,8,8,4,36363636363636300,0.5,10.25,41,2,0
Las Arenas,8,8,4,36363636363636300,0.5,54125,91,12,0
Linares,8,7,4,0.5,0.5,21375,47,8,0
Milan,8,6,6,5454545454545450,0.75,214.5,292,68,0
Ronda,8,8,4,4444444444444440,0.5,20.75,57,10,0
San Fernando,8,8,8,0.8,1,151375,146,16,0
Sant Cugat del Valles,8,7,14,6086956521739130,1.75,589375,687,92,0
Soria,8,7,5,38461538461538400,625,83625,93,21,0
Villafranca del Castillo,8,7,5,625,625,63.5,82,16,0
Villanueva de la Canada,8,8,6,6666666666666660,0.75,112.75,116,18,0
Villarrobledo,8,4,17,8947368421052630,2125,598.5,726,154,0
Igualada,7,7,6,8571428571428570,8571428571428570,8214285714285710,59,9,0
Lebrija,7,6,5,625,7142857142857140,10742857142857100,118,22,0
Los Palacios y Villafranca,7,7,14,875,2,9567142857142850,387,35,0
Lulea,7,7,0,0,0,0,25,0,0
Orihuela,7,7,4,5714285714285710,5714285714285710,51,59,10,0
Paracuellos de Jarama,7,6,1,125,14285714285714200,12285714285714200,27,0,0
Puerto Marino,7,6,5,45454545454545400,7142857142857140,254,222,50,0
Rubi,7,6,5,38461538461538400,7142857142857140,39,51,4,0
San Jose,7,7,3,375,42857142857142800,20857142857142800,36,2,0
San Martin de la Vega,7,5,8,0.8,11428571428571400,15628571428571400,115,15,0
Sueca,7,7,5,625,7142857142857140,12342857142857100,83,9,0
Zamora,7,7,6,8571428571428570,8571428571428570,23857142857142800,57,8,0
Amsterdam,6,6,5,8333333333333330,8333333333333330,92.5,56,6,0
Azuqueca de Henares,6,6,4,5714285714285710,6666666666666660,386.5,225,41,0
Durango,6,6,6,8571428571428570,1,42833333333333300,70,11,0
El Viso del Alcor,6,6,4,0.5,6666666666666660,49333333333333300,45,6,0
Huesca,6,6,5,625,8333333333333330,5126666666666660,187,12,0
Montevideo,6,6,2,2857142857142850,3333333333333330,14333333333333300,23,0,0
Montreal,6,6,2,3333333333333330,3333333333333330,9333333333333330,21,0,0
Puerto Real,6,5,11,7333333333333330,18333333333333300,9626666666666660,356,23,0
Sant Pere de Ribes,6,6,3,0.5,0.5,13633333333333300,61,10,0
Teruel,6,6,4,6666666666666660,6666666666666660,3026666666666660,163,10,0
Tudela,6,6,2,3333333333333330,3333333333333330,25666666666666600,35,6,0
Alcala de Guadaira,5,5,2,2857142857142850,0.4,61.4,47,8,0
Alcoi,5,5,2,3333333333333330,0.4,43.2,28,2,0
Forest City,5,5,0,0,0,0,16,0,0
Laudio,5,4,4,3076923076923070,0.8,551.8,137,17,0
Mejorada del Campo,5,5,2,0.4,0.4,153.2,65,8,0
Petrer,5,4,4,0.8,0.8,78.6,44,10,0
Rota,5,5,12,1,45018,548.2,324,76,0
